step,train_loss
10,2.0789
20,2.0773
30,2.0757
40,2.076
50,2.0787
60,2.0779
70,2.0634
80,2.052
90,2.0486
100,2.0397
110,2.0532
120,2.0513
130,2.015
140,2.0071
150,1.9842
160,1.9504
170,1.9112
180,1.9253
190,1.8579
200,1.8382
210,1.8707
220,1.7728
230,1.8298
240,1.737
250,1.6341
260,1.6383
270,1.5412
280,1.6203
290,1.6209
300,1.5713
310,1.5625
320,1.5315
330,1.5539
340,1.4666
350,1.4139
360,1.3936
370,1.3426
380,1.3194
390,1.2829
400,1.3027
410,1.1255
420,1.1714
430,1.1662
440,1.1861
450,1.215
460,1.2316
470,1.1193
480,1.0765
490,1.0894
500,1.0487
510,1.2036
520,0.8706
530,0.979
540,0.962
550,0.9223
560,1.0732
570,0.8848
580,0.8785
590,0.9192
600,0.9034
610,0.8205
620,0.9211
630,0.9436
640,0.7204
650,0.6606
660,0.856
670,0.7945
680,0.938
690,0.8895
700,0.8192
710,0.8431
720,1.0533
730,0.7497
740,0.7545
750,0.6945
760,0.6071
770,0.6109
780,0.6072
790,0.5781
800,0.5553
810,0.3978
820,0.7303
830,0.7033
840,0.5594
850,0.598
860,0.7617
870,0.7652
880,0.5702
890,0.5449
900,0.4067
910,0.6243
920,0.6567
930,0.5213
940,0.8232
950,1.0962
960,0.9378
970,1.4638
980,1.0553
990,0.9292
1000,0.9599
1010,0.5363
1020,1.0188
1030,1.0014
1040,1.1026
1050,0.677
1060,0.5588
1070,0.6026
1080,1.2124
1090,0.6047
1100,0.4983
1110,0.477
1120,0.5865
1130,0.744
