step,train_loss
10,1.941
20,1.9299
30,1.8683
40,1.7982
50,1.6133
60,1.4564
70,1.249
80,1.2477
90,1.2401
100,0.9058
110,0.9029
120,0.8186
130,0.7405
140,0.6209
150,0.5773
160,0.6507
170,0.5143
180,0.3903
190,0.3667
200,0.381
210,0.401
220,0.3865
230,0.2519
240,0.2385
250,0.1816
260,0.2669
270,0.2328
280,0.1491
290,0.1373
300,0.0768
310,0.0836
320,0.0671
330,0.045
340,0.0919
350,0.0829
360,0.1035
370,0.1048
380,0.0187
390,0.0647
400,0.0151
410,0.0118
420,0.0201
430,0.0115
440,0.0083
450,0.0069
460,0.0064
470,0.0053
480,0.0052
490,0.0051
500,0.0043
510,0.0041
520,0.0043
530,0.0041
540,0.0037
550,0.0037
560,0.0034
570,0.0031
580,0.003
590,0.0031
600,0.003
610,0.0027
620,0.0025
630,0.0027
640,0.0024
650,0.0024
660,0.0024
670,0.0024
680,0.0021
690,0.0022
700,0.0021
710,0.0021
720,0.002
730,0.0018
740,0.0019
