step,train_loss
10,2.0778
20,2.0725
30,2.078
40,2.0485
50,2.0373
60,1.9902
70,1.9241
80,1.8193
90,1.8328
100,1.7085
110,1.6508
120,1.5842
130,1.4713
140,1.4198
150,1.3337
160,1.4057
170,1.4166
180,1.3414
190,1.2887
200,1.1776
210,1.1869
220,1.08
230,1.3607
240,1.0605
250,1.0128
260,0.8755
270,0.7657
280,0.8503
290,0.7958
300,0.9844
310,0.7259
320,0.5472
330,0.5858
340,0.6265
350,0.8137
360,0.571
370,0.4373
380,0.3679
390,0.3195
400,0.348
410,0.3616
420,0.5109
430,0.4476
440,0.2286
450,0.2709
460,0.3208
470,0.1651
480,0.3292
490,0.1735
500,0.263
510,0.2228
520,0.0976
530,0.1339
540,0.1741
550,0.1989
560,0.0664
570,0.0704
580,0.1127
590,0.1556
600,0.1587
610,0.1251
620,0.0279
630,0.081
640,0.1536
650,0.07
660,0.0781
670,0.0774
680,0.1317
690,0.0737
700,0.0274
710,0.0084
720,0.01
730,0.0728
740,0.0061
750,0.037
760,0.0298
770,0.0051
780,0.0093
790,0.0049
800,0.0135
810,0.0865
820,0.0832
830,0.0079
840,0.0046
850,0.0034
860,0.0036
870,0.0024
880,0.002
890,0.0024
900,0.0145
910,0.0012
920,0.0163
930,0.0139
940,0.0009
950,0.0013
960,0.0192
970,0.0007
980,0.0008
990,0.0008
1000,0.0006
1010,0.0006
1020,0.0005
1030,0.0006
1040,0.0005
1050,0.0005
1060,0.0005
1070,0.0005
1080,0.0005
1090,0.0005
1100,0.0004
1110,0.0005
1120,0.0004
1130,0.0005
1140,0.0004
1150,0.0004
1160,0.0004
1170,0.0004
1180,0.0004
1190,0.0004
1200,0.0004
1210,0.0004
1220,0.0004
1230,0.0004
1240,0.0004
1250,0.0004
1260,0.0003
1270,0.0003
1280,0.0004
1290,0.0004
1300,0.0003
1310,0.0003
1320,0.0003
