step,train_loss
10,1.9329
20,1.9413
30,1.9298
40,1.9161
50,1.9047
60,1.8704
70,1.8112
80,1.7564
90,1.7543
100,1.5153
110,1.579
120,1.4359
130,1.3596
140,1.1926
150,1.2833
160,1.1616
170,1.0307
180,1.0555
190,1.1592
200,0.8111
210,0.9201
220,0.7619
230,0.8549
240,0.7471
250,0.6746
260,0.607
270,0.8074
280,0.8718
290,0.6253
300,0.6417
310,0.4388
320,0.4564
330,0.6163
340,0.4173
350,0.4384
360,0.4428
370,0.5557
380,0.6308
390,0.3109
400,0.3544
410,0.28
420,0.2168
430,0.3408
440,0.2899
450,0.3232
460,0.1661
470,0.273
480,0.2159
490,0.1553
500,0.1588
510,0.2238
520,0.0542
530,0.0767
540,0.0496
550,0.0313
560,0.1497
570,0.0654
580,0.0112
590,0.1273
600,0.0123
610,0.0246
620,0.0584
630,0.0916
640,0.066
650,0.023
660,0.1468
670,0.0101
680,0.0057
690,0.1451
700,0.0745
710,0.0181
720,0.07
730,0.0282
740,0.0272
750,0.0308
760,0.1251
770,0.1159
780,0.0084
790,0.0598
800,0.0038
810,0.0042
820,0.0113
830,0.0095
840,0.0138
850,0.008
860,0.0056
870,0.0046
880,0.0076
890,0.0028
900,0.0082
910,0.0025
920,0.0181
930,0.0065
940,0.0024
950,0.0023
960,0.0289
970,0.0024
980,0.0155
990,0.0041
1000,0.0031
1010,0.0023
1020,0.0037
1030,0.0137
1040,0.0035
1050,0.0062
