step,train_loss
10,2.0793
20,2.0804
30,2.0741
40,2.0699
50,2.0744
60,2.0668
70,2.0575
80,2.0364
90,2.0458
100,2.0078
110,1.9677
120,1.9169
130,1.8478
140,1.8421
150,1.8068
160,1.7969
170,1.6675
180,1.6523
190,1.6514
200,1.6258
210,1.643
220,1.5255
230,1.5912
240,1.4583
250,1.3948
260,1.3758
270,1.322
280,1.4376
290,1.2144
300,1.2822
310,1.0962
320,1.1299
330,1.1624
340,1.082
350,1.0169
360,1.1557
370,1.0059
380,0.9895
390,0.8808
400,0.9578
410,0.8678
420,0.8045
430,0.9986
440,0.7311
450,0.8296
460,0.7732
470,0.6967
480,0.9396
490,0.7658
500,0.7263
510,0.6222
520,0.6566
530,0.5878
540,0.5943
550,0.6184
560,0.604
570,0.6294
580,0.5007
590,0.4806
600,0.5021
610,0.4745
620,0.4667
630,0.5627
640,0.5062
650,0.4282
660,0.5623
670,0.3052
680,0.428
690,0.3673
700,0.3078
710,0.4418
720,0.3651
730,0.3896
740,0.3488
750,0.2792
760,0.4015
770,0.2761
780,0.2897
790,0.22
800,0.1685
810,0.2274
820,0.1514
830,0.3141
840,0.4374
850,0.1842
860,0.2554
870,0.3246
880,0.2056
890,0.3956
900,0.2715
910,0.1281
920,0.1895
930,0.2868
940,0.1874
950,0.2123
960,0.1367
970,0.0911
980,0.2587
990,0.0778
1000,0.1373
1010,0.067
1020,0.0964
1030,0.2231
1040,0.1217
1050,0.1123
1060,0.1242
1070,0.0748
1080,0.0607
1090,0.1627
1100,0.0613
1110,0.1067
1120,0.0827
1130,0.1377
1140,0.0479
1150,0.0536
1160,0.07
1170,0.071
1180,0.3333
1190,0.145
1200,0.1156
1210,0.0632
1220,0.0801
1230,0.0547
1240,0.2181
1250,0.0971
1260,0.0665
1270,0.0727
1280,0.0774
1290,0.0623
1300,0.0333
1310,0.0117
1320,0.1117
1330,0.1067
1340,0.0138
1350,0.0237
1360,0.0789
1370,0.0865
1380,0.0392
1390,0.0104
1400,0.0749
1410,0.0409
1420,0.0422
1430,0.0208
1440,0.0834
1450,0.0274
1460,0.1918
1470,0.0844
1480,0.0694
1490,0.0196
1500,0.0447
1510,0.0245
1520,0.0425
1530,0.0146
1540,0.037
1550,0.089
1560,0.0143
1570,0.0814
1580,0.0308
1590,0.0248
1600,0.0843
1610,0.0072
1620,0.0162
1630,0.0124
1640,0.0146
1650,0.008
1660,0.0354
1670,0.0128
1680,0.0503
1690,0.0589
1700,0.0067
1710,0.0403
1720,0.0223
1730,0.0097
1740,0.021
1750,0.0458
1760,0.0101
1770,0.3648
1780,0.083
1790,0.0137
1800,0.012
