step,train_loss
10,1.9572
20,1.9511
30,1.9582
40,1.9507
50,1.9499
60,1.9454
70,1.9339
80,1.9381
90,1.932
100,1.9165
110,1.9323
120,1.9266
130,1.9112
140,1.8984
150,1.8878
160,1.8785
170,1.8665
180,1.8382
190,1.882
200,1.7671
210,1.7841
220,1.7965
230,1.7568
240,1.8466
250,1.7529
260,1.7393
270,1.7791
280,1.8246
290,1.8283
300,1.7051
310,1.7529
320,1.6754
330,1.643
340,1.648
350,1.7295
360,1.6519
370,1.5377
380,1.7556
390,1.7589
400,1.4916
410,1.6152
420,1.6333
430,1.7034
440,1.638
450,1.6694
460,1.5556
470,1.6277
480,1.5654
490,1.4856
500,1.3752
510,1.4265
520,1.402
530,1.4618
540,1.4597
550,1.2843
560,1.2974
570,1.3322
580,1.2849
590,1.4576
600,1.4134
610,1.2795
620,1.2536
630,1.4947
640,1.3716
650,1.4028
660,1.2536
670,1.2812
680,1.1763
690,1.2824
700,1.3099
710,1.2337
720,1.0578
730,1.2015
740,1.0365
750,1.1824
760,1.1878
770,1.1032
780,1.1588
790,1.0508
800,1.0226
810,1.132
820,1.196
830,1.1957
840,1.0359
850,1.1809
860,1.2221
870,1.2327
880,1.2988
890,1.198
900,0.988
910,1.2161
920,1.0824
930,1.1073
940,1.0004
950,0.9533
960,1.1
970,1.0018
980,1.0174
990,1.0975
1000,0.9752
1010,1.0716
1020,1.1717
1030,0.988
1040,1.0079
1050,0.9908
1060,0.882
1070,1.1303
1080,1.1078
1090,0.9824
1100,1.0005
1110,1.122
1120,1.2463
1130,0.9396
1140,0.947
1150,1.0477
1160,1.0543
1170,0.943
1180,0.9154
1190,0.8177
1200,0.9354
1210,0.8662
1220,1.0624
1230,0.8854
1240,0.7966
1250,1.0468
1260,0.9531
1270,0.8332
1280,1.0673
1290,0.9282
1300,0.8467
1310,0.7774
1320,0.9866
1330,0.8391
1340,0.9957
1350,0.9046
1360,0.9505
1370,0.8476
1380,0.8037
1390,0.8866
1400,0.7589
1410,0.7944
1420,0.8905
1430,0.8724
1440,1.0348
1450,0.7342
1460,0.9024
1470,0.8884
1480,0.8902
1490,0.8503
1500,0.8445
1510,0.7839
1520,0.6827
1530,0.8678
1540,0.9625
1550,0.813
1560,0.8413
1570,0.8729
1580,0.8954
1590,1.0246
1600,0.8229
1610,0.825
1620,0.8961
1630,0.7583
1640,0.8435
1650,0.7979
1660,0.7495
1670,0.8505
1680,0.8007
1690,0.8033
1700,0.8144
1710,0.6825
1720,0.7924
1730,0.7544
1740,0.803
1750,0.7905
1760,0.7948
1770,0.7512
1780,0.7446
1790,0.7896
1800,0.8043
1810,0.7291
1820,0.8207
1830,0.8657
1840,0.8196
1850,0.7783
1860,0.8465
1870,0.7948
1880,0.9993
1890,0.9485
1900,0.8037
1910,0.8489
1920,1.076
1930,0.8263
1940,0.8839
1950,0.8693
1960,0.8826
1970,0.7091
1980,0.8072
1990,0.8908
2000,0.7099
2010,0.7956
2020,0.7667
2030,0.6684
2040,0.8599
2050,0.7199
2060,0.667
2070,0.7428
2080,0.7893
2090,0.803
2100,0.8461
2110,0.7166
2120,0.7064
2130,0.8606
2140,0.8572
2150,0.6361
2160,0.8301
2170,0.7002
2180,0.9128
2190,0.7935
2200,0.6287
2210,0.7455
2220,0.8145
2230,0.9259
2240,0.7711
2250,0.7797
2260,0.809
2270,0.6539
2280,0.7218
2290,0.8197
2300,0.7568
2310,0.7017
2320,0.7044
2330,0.9294
2340,0.7409
2350,0.9268
2360,0.6748
2370,0.6936
2380,0.7272
2390,0.7464
2400,0.7378
2410,0.8476
2420,0.6884
2430,0.7227
2440,0.7799
2450,0.8394
2460,0.8314
2470,0.6886
2480,0.8839
2490,0.6163
2500,0.6762
2510,0.8411
2520,0.881
2530,0.776
2540,0.9933
2550,0.707
2560,0.6402
2570,0.8201
2580,0.7314
2590,0.7695
2600,0.7927
2610,0.7248
2620,0.8673
2630,0.9327
2640,0.7504
2650,0.7135
2660,0.7701
2670,0.7702
