step,train_loss
10,1.9364
20,1.9286
30,1.8229
40,1.6472
50,1.5415
60,1.6241
70,1.4131
80,1.4415
90,1.0762
100,0.7937
110,0.9347
120,0.9782
130,0.7413
140,0.6534
150,0.6837
160,0.4836
170,0.5135
180,0.5261
190,0.3104
200,0.5418
210,0.6728
220,0.7692
230,0.2777
240,0.3394
250,0.493
260,0.2025
270,0.2603
280,0.5648
290,0.7738
300,0.8346
310,0.1244
320,0.3604
330,0.5162
340,0.1298
350,0.3121
360,0.0545
370,0.8003
380,0.1477
390,0.3557
400,0.2005
410,0.1783
420,0.1655
430,0.1887
440,0.0712
450,0.0997
460,0.0899
470,0.093
480,0.0036
490,0.0099
500,0.2165
510,0.1318
520,0.0746
530,0.0627
540,0.0032
550,0.0075
560,0.0446
570,0.002
580,0.0013
590,0.0903
600,0.0715
610,0.0065
620,0.0014
630,0.0698
640,0.0013
650,0.0015
660,0.015
670,0.0005
680,0.0006
690,0.1303
700,0.0007
