step,train_loss
10,1.9432
20,1.9197
30,1.907
40,1.9201
50,1.821
60,1.7001
70,1.5742
80,1.4407
90,1.3484
100,1.256
110,1.1974
120,1.0586
130,0.8758
140,0.7669
150,0.7685
160,0.5923
170,0.4281
180,0.3425
190,0.2464
200,0.2052
210,0.1938
220,0.0736
230,0.0449
240,0.1545
250,0.0862
260,0.0581
270,0.0749
280,0.1233
290,0.1079
300,0.0862
310,0.0406
320,0.008
330,0.0292
340,0.0371
350,0.0041
360,0.0038
370,0.004
380,0.0681
390,0.0174
400,0.0019
410,0.003
420,0.0018
430,0.0019
440,0.0248
450,0.0358
460,0.0025
470,0.0015
480,0.1144
490,0.0022
500,0.0012
510,0.0011
520,0.0023
530,0.002
540,0.0882
550,0.0015
