step,train_loss
10,2.0827
20,2.0687
30,2.0804
40,2.0525
50,2.0641
60,1.9702
70,1.8661
80,1.7783
90,1.8889
100,1.8207
110,1.7384
120,1.772
130,1.6362
140,1.5845
150,1.5263
160,1.4466
170,1.4359
180,1.1679
190,1.0635
200,1.155
210,0.9458
220,1.0271
230,1.1273
240,1.1593
250,1.029
260,0.7936
270,0.7002
280,0.8561
290,0.785
300,0.7499
310,0.5138
320,0.6578
330,0.4656
340,0.6553
350,0.6989
360,0.3711
370,0.4381
380,0.3985
390,0.2901
400,0.7425
410,0.3087
420,0.2662
430,0.2621
440,0.3445
450,0.2627
460,0.296
470,0.1861
480,0.4748
490,0.3836
500,0.3948
510,0.25
520,0.3375
530,0.3567
540,0.2026
550,0.1953
560,0.2417
570,0.2461
580,0.307
590,0.1563
600,0.3406
610,0.1361
620,0.4103
630,0.2311
640,0.1997
650,0.1507
660,0.3094
670,0.2053
680,0.1485
690,0.2008
700,0.17
710,0.1947
720,0.1204
730,0.1114
740,0.0775
750,0.0932
760,0.1969
770,0.1334
780,0.2129
790,0.1627
800,0.0955
810,0.0972
820,0.1851
830,0.0862
840,0.0965
850,0.2191
860,0.0881
870,0.0495
880,0.0235
890,0.1655
900,0.1198
