step,train_loss
10,2.0818
20,2.0678
30,2.0441
40,1.9342
50,1.7491
60,1.5449
70,1.2952
80,1.4256
90,1.1983
100,1.1713
110,1.1037
120,0.8555
130,0.9297
140,0.7219
150,0.7389
160,0.8816
170,0.6598
180,0.5448
190,0.5097
200,0.5746
210,0.5544
220,0.33
230,0.3748
240,0.4357
250,0.4198
260,0.3492
270,0.2895
280,0.2222
290,0.3419
300,0.1714
310,0.1325
320,0.2455
330,0.138
340,0.2565
350,0.4562
360,0.1492
370,0.1268
380,0.2206
390,0.142
400,0.0935
410,0.0878
420,0.1116
430,0.1253
440,0.4068
450,0.1883
460,0.0963
470,0.1038
480,0.1839
490,0.0575
500,0.0422
510,0.1181
520,0.0839
530,0.0302
540,0.0407
550,0.0688
560,0.0992
570,0.099
580,0.0592
590,0.0533
600,0.0731
610,0.086
620,0.0225
630,0.0532
640,0.0433
650,0.0783
660,0.0252
670,0.0095
680,0.021
690,0.0159
700,0.0116
710,0.004
720,0.0345
730,0.0126
740,0.0035
750,0.0756
760,0.0073
770,0.0304
780,0.0179
790,0.0203
800,0.0185
810,0.0057
820,0.0291
830,0.0275
840,0.0062
850,0.0123
860,0.0005
870,0.0066
880,0.0315
890,0.0046
900,0.0009
910,0.0096
920,0.0108
930,0.0288
940,0.0092
950,0.0321
960,0.005
