step,train_loss
10,1.9556
20,1.9479
30,1.952
40,1.949
50,1.9513
60,1.9495
70,1.9466
80,1.9458
90,1.9472
100,1.9469
110,1.9432
120,1.956
130,1.9448
140,1.9525
150,1.9445
160,1.9509
170,1.9411
180,1.9489
190,1.9433
200,1.945
210,1.9396
220,1.9427
230,1.9408
240,1.941
250,1.9479
260,1.9354
270,1.9398
280,1.938
290,1.9401
300,1.9363
310,1.941
320,1.9282
330,1.9341
340,1.9315
350,1.9231
360,1.9302
370,1.9308
380,1.9347
390,1.927
400,1.9234
410,1.9271
420,1.9163
430,1.9195
440,1.9166
450,1.929
460,1.9271
470,1.9164
480,1.9283
490,1.9156
500,1.9188
510,1.9124
520,1.9117
530,1.8981
540,1.9154
550,1.9008
560,1.9131
570,1.8972
580,1.8907
590,1.9114
600,1.9208
610,1.8815
620,1.8957
630,1.9207
640,1.882
650,1.9036
660,1.8894
670,1.8514
680,1.9358
690,1.8681
700,1.87
710,1.8821
720,1.9168
730,1.8673
740,1.876
750,1.8617
760,1.8407
770,1.8493
780,1.8134
790,1.8736
800,1.8674
810,1.8605
820,1.862
830,1.8753
840,1.8074
850,1.8292
860,1.8239
870,1.8275
880,1.8654
890,1.8575
900,1.7734
910,1.8104
920,1.8173
930,1.8016
940,1.8321
950,1.8744
960,1.759
970,1.7412
980,1.7456
990,1.7944
1000,1.806
1010,1.7323
1020,1.7648
1030,1.8212
1040,1.7866
1050,1.7262
1060,1.7428
1070,1.7462
1080,1.645
1090,1.6279
1100,1.7004
1110,1.6653
1120,1.6167
1130,1.6901
1140,1.7273
1150,1.7181
1160,1.6383
1170,1.6398
1180,1.6739
1190,1.6448
1200,1.6481
1210,1.6688
1220,1.6578
1230,1.6769
1240,1.6182
1250,1.6404
1260,1.6533
1270,1.6274
1280,1.5139
1290,1.5876
1300,1.6497
1310,1.6569
1320,1.6438
1330,1.5906
1340,1.6311
1350,1.6125
1360,1.6901
1370,1.6329
1380,1.6495
1390,1.6874
1400,1.547
1410,1.5845
1420,1.6495
1430,1.5032
1440,1.5419
1450,1.5937
1460,1.5918
1470,1.6938
1480,1.5143
1490,1.4269
1500,1.4672
1510,1.4808
1520,1.4617
1530,1.5372
1540,1.5625
1550,1.5938
1560,1.4827
1570,1.6026
1580,1.5543
1590,1.4544
1600,1.513
1610,1.3826
1620,1.5395
1630,1.4793
1640,1.4376
1650,1.4207
1660,1.5008
1670,1.5416
1680,1.5325
1690,1.4512
1700,1.4516
1710,1.4079
1720,1.5065
1730,1.4375
1740,1.4152
1750,1.3607
1760,1.4737
1770,1.3083
1780,1.4336
1790,1.4809
1800,1.4455
1810,1.393
1820,1.5599
1830,1.5124
1840,1.4095
1850,1.4081
1860,1.4707
1870,1.4379
1880,1.5355
1890,1.5703
1900,1.315
1910,1.3457
1920,1.4143
1930,1.4186
1940,1.4081
1950,1.3765
1960,1.3626
1970,1.3739
1980,1.3596
1990,1.3833
2000,1.3569
2010,1.3579
2020,1.2466
2030,1.3019
2040,1.2792
2050,1.4069
2060,1.2832
2070,1.4142
2080,1.3426
2090,1.2845
2100,1.3836
2110,1.2761
2120,1.3036
2130,1.3853
2140,1.3173
2150,1.476
2160,1.2587
2170,1.2585
2180,1.2376
2190,1.2816
2200,1.236
2210,1.4104
2220,1.3696
2230,1.2861
2240,1.0496
2250,1.2838
2260,1.2827
2270,1.2788
2280,1.331
2290,1.333
2300,1.2472
2310,1.1773
2320,1.2793
2330,1.2254
2340,1.3082
2350,1.2772
