step,train_loss
10,1.9429
20,1.9415
30,1.9378
40,1.935
50,1.928
60,1.9092
70,1.9037
80,1.8927
90,1.8708
100,1.7764
110,1.7155
120,1.7242
130,1.6736
140,1.618
150,1.5828
160,1.462
170,1.4021
180,1.2843
190,1.2659
200,1.1873
210,1.1721
220,1.1965
230,1.008
240,1.0782
250,1.0354
260,1.0592
270,0.9036
280,0.9488
290,0.7646
300,0.8229
310,0.706
320,0.6218
330,0.663
340,0.7299
350,0.5257
360,0.4829
370,0.4536
380,0.374
390,0.4461
400,0.3902
410,0.2851
420,0.3184
430,0.2755
440,0.3468
450,0.2125
460,0.1721
470,0.2582
480,0.2041
490,0.1285
500,0.1259
510,0.1203
520,0.0973
530,0.1181
540,0.0786
550,0.0678
560,0.065
570,0.0861
580,0.0559
590,0.0519
600,0.0484
610,0.0441
620,0.0427
630,0.0404
640,0.038
650,0.0356
660,0.034
670,0.0355
680,0.0298
690,0.029
700,0.0281
710,0.0253
720,0.027
730,0.0253
740,0.0256
750,0.0243
760,0.0219
770,0.0232
780,0.0229
790,0.0207
