step,train_loss
10,2.075
20,2.0393
30,1.9509
40,1.8633
50,1.8613
60,1.6702
70,1.563
80,1.5091
90,1.3025
100,1.1257
110,1.121
120,1.0545
130,0.8998
140,0.7965
150,0.7451
160,0.6748
170,0.5797
180,0.6336
190,0.4859
200,0.4969
210,0.4702
220,0.4282
230,0.3614
240,0.4379
250,0.3975
260,0.248
270,0.2442
280,0.3627
290,0.2225
300,0.2476
310,0.2177
320,0.2484
330,0.222
340,0.1193
350,0.1668
360,0.1142
370,0.1449
380,0.0915
390,0.1046
400,0.0955
410,0.1663
420,0.1194
430,0.0985
440,0.0794
450,0.0396
460,0.0345
470,0.0751
480,0.1362
490,0.0845
500,0.0652
510,0.0685
520,0.097
530,0.0146
540,0.0866
550,0.0667
560,0.0316
570,0.011
580,0.0466
590,0.0073
600,0.0231
610,0.0188
620,0.052
630,0.0268
640,0.0069
650,0.0252
660,0.0301
670,0.0108
680,0.024
690,0.078
700,0.0259
710,0.0609
720,0.0248
730,0.0128
740,0.0282
750,0.0052
760,0.0046
770,0.0137
780,0.0145
