step,train_loss
10,2.0848
20,2.0863
30,2.079
40,2.0784
50,2.0683
60,2.0726
70,2.0569
80,2.0432
90,2.0254
100,1.9954
110,1.9464
120,1.895
130,1.8719
140,1.7873
150,1.7811
160,1.7756
170,1.7615
180,1.701
190,1.6857
200,1.6352
210,1.572
220,1.5162
230,1.5328
240,1.4023
250,1.3611
260,1.3361
270,1.2737
280,1.2262
290,1.208
300,1.1585
310,1.0968
320,1.1401
330,1.0085
340,1.0311
350,0.9282
360,0.931
370,0.8344
380,0.8912
390,0.8047
400,0.7018
410,0.7128
420,0.647
430,0.6251
440,0.6531
450,0.532
460,0.5733
470,0.5537
480,0.4289
490,0.4572
500,0.447
510,0.4286
520,0.3661
530,0.3376
540,0.3562
550,0.322
560,0.3538
570,0.3413
580,0.2498
590,0.2255
600,0.2302
610,0.1607
620,0.2164
630,0.2886
640,0.1301
650,0.1648
660,0.128
670,0.1649
680,0.0903
690,0.1903
700,0.0618
710,0.0802
720,0.2375
730,0.1516
740,0.0587
750,0.2355
760,0.1034
770,0.182
780,0.0541
790,0.157
800,0.1175
810,0.169
820,0.099
830,0.1
840,0.0809
850,0.0958
860,0.0888
870,0.1193
880,0.0567
890,0.0508
900,0.0666
910,0.0549
920,0.0302
930,0.0439
940,0.0423
950,0.0247
960,0.0262
970,0.1156
980,0.0164
990,0.0671
1000,0.0375
1010,0.1074
1020,0.0367
1030,0.0844
1040,0.014
1050,0.0451
1060,0.0215
1070,0.0435
1080,0.0115
1090,0.0297
1100,0.06
1110,0.0277
1120,0.1061
1130,0.0108
1140,0.0135
1150,0.0097
1160,0.0185
1170,0.0157
1180,0.0442
1190,0.0314
1200,0.046
1210,0.0089
1220,0.0195
1230,0.0158
1240,0.0384
1250,0.0083
1260,0.0077
1270,0.0391
1280,0.0073
1290,0.0413
1300,0.0073
1310,0.0071
1320,0.0254
1330,0.0073
1340,0.0117
1350,0.0188
1360,0.0064
1370,0.0065
1380,0.0194
1390,0.0063
1400,0.0064
1410,0.0113
1420,0.0062
1430,0.0063
1440,0.036
1450,0.0059
1460,0.0139
1470,0.0436
1480,0.0058
1490,0.0177
1500,0.0055
1510,0.0054
1520,0.0054
1530,0.0212
1540,0.0163
1550,0.0053
1560,0.0052
1570,0.0052
1580,0.0053
1590,0.0126
1600,0.0049
1610,0.0276
1620,0.0051
1630,0.0446
