step,train_loss
10,1.955
20,1.9382
30,1.8854
40,1.8702
50,1.7854
60,1.5936
70,1.4375
80,1.503
90,1.4466
100,1.2231
110,1.3367
120,1.5657
130,1.4531
140,1.1617
150,1.1835
160,1.2205
170,1.3122
180,1.4726
190,1.1628
200,1.4217
210,1.3528
220,1.6397
230,1.8029
240,1.2807
250,1.2893
260,1.213
270,1.3463
280,0.9759
290,1.2611
300,0.9588
310,0.8627
320,0.9209
330,1.3582
340,1.2529
350,0.8003
360,0.8365
370,1.1703
380,0.8465
390,0.9813
400,1.0347
410,1.7809
420,0.9401
430,1.0252
440,0.8544
450,1.1757
460,1.0228
470,0.8147
480,0.805
490,0.6381
500,0.6352
510,0.5446
520,0.7243
530,0.7701
540,0.7037
550,0.5386
560,0.5131
570,0.581
580,0.6114
590,0.3108
600,0.3322
610,0.2473
620,0.4461
630,0.8461
640,0.5974
650,0.6163
660,0.5292
670,0.7449
680,0.4672
690,0.6325
700,0.2955
710,0.5647
720,0.5008
730,0.3141
740,0.2899
750,0.412
760,0.3603
770,0.1778
780,0.6325
790,0.6102
800,0.2655
810,0.3764
820,0.1278
830,0.1809
840,0.2963
850,0.1344
860,0.1548
870,0.1124
880,0.159
890,0.1038
900,0.1411
910,0.0746
920,0.0774
930,0.0123
940,0.0718
950,0.0919
960,0.1981
970,0.0608
980,0.0074
990,0.0995
1000,0.291
1010,0.0049
1020,0.099
1030,0.0669
1040,0.1535
1050,0.006
1060,0.005
1070,0.0706
1080,0.0917
1090,0.0127
1100,0.1477
1110,0.0075
1120,0.0056
1130,0.0644
1140,0.0279
1150,0.0038
1160,0.0152
1170,0.0048
1180,0.0779
1190,0.0036
1200,0.0027
1210,0.029
1220,0.0308
1230,0.0641
1240,0.0028
1250,0.0072
1260,0.0031
1270,0.1025
1280,0.0026
1290,0.0227
1300,0.0118
1310,0.0036
1320,0.004
