step,train_loss
10,2.0906
20,2.0816
30,2.0765
40,2.0611
50,2.0522
60,2.0338
70,1.9794
80,1.9048
90,1.9189
100,1.8819
110,1.8784
120,1.7961
130,1.8001
140,1.748
150,1.7196
160,1.7252
170,1.6061
180,1.4672
190,1.3958
200,1.5651
210,1.3672
220,1.4825
230,1.4652
240,1.3033
250,1.3855
260,1.3539
270,1.1599
280,1.2822
290,1.055
300,1.0974
310,1.0374
320,1.1373
330,1.0843
340,1.5423
350,1.1266
360,1.5981
370,1.2918
380,1.3105
390,1.0038
400,1.1742
410,0.917
420,1.077
430,0.8001
440,1.0554
450,0.8386
460,0.862
470,0.8552
480,0.7311
490,0.8484
500,0.88
510,0.8624
520,0.8288
530,0.898
540,0.7863
550,0.779
560,0.5522
570,0.5749
580,0.5589
590,0.6536
600,0.6812
610,0.6098
620,0.7792
630,0.5097
640,0.5069
650,0.6495
660,0.5569
670,0.643
680,0.4537
690,0.3764
700,0.5706
710,0.5944
720,0.5373
730,0.492
740,0.4383
750,0.5671
760,0.5098
770,0.6476
780,0.8917
790,0.4845
800,0.4415
810,0.3487
820,0.502
830,0.3961
840,0.3736
850,0.4895
860,0.3215
870,0.3039
880,0.3604
890,0.3907
900,0.3362
910,0.4698
920,0.4409
930,0.3632
940,0.3133
950,0.3125
960,0.4122
970,0.3559
980,0.3165
990,0.2046
1000,0.2071
1010,0.3599
1020,0.3522
1030,0.2771
1040,0.135
1050,0.1793
1060,0.1831
1070,0.2222
1080,0.1662
1090,0.191
1100,0.2508
1110,0.2539
1120,0.3034
1130,0.2124
1140,0.1777
1150,0.1673
1160,0.1444
1170,0.2046
1180,0.2507
1190,0.1793
1200,0.2383
1210,0.133
1220,0.1225
1230,0.0757
1240,0.1039
1250,0.1913
1260,0.1586
1270,0.2638
1280,0.0776
1290,0.0885
1300,0.1091
1310,0.1711
1320,0.0521
1330,0.1054
1340,0.2092
1350,0.014
1360,0.1197
1370,0.1092
1380,0.0688
1390,0.0167
1400,0.0868
1410,0.0717
1420,0.1327
1430,0.0099
1440,0.1074
1450,0.0202
1460,0.0038
1470,0.0423
1480,0.0272
1490,0.0387
1500,0.0775
1510,0.0028
1520,0.0293
1530,0.0044
1540,0.0292
1550,0.0361
1560,0.0053
1570,0.0024
1580,0.0382
1590,0.0156
1600,0.0748
1610,0.0505
1620,0.0083
1630,0.0025
1640,0.0028
1650,0.0506
1660,0.0154
1670,0.0024
1680,0.0031
1690,0.0222
1700,0.0022
1710,0.1035
1720,0.0033
1730,0.0035
1740,0.068
1750,0.0297
1760,0.0035
1770,0.0022
1780,0.0782
1790,0.0057
1800,0.003
