step,train_loss
10,2.0805
20,2.0836
30,2.0773
40,2.0759
50,2.0708
60,2.0703
70,2.0505
80,2.0433
90,2.0271
100,2.0436
110,2.0006
120,1.9628
130,1.9229
140,1.8945
150,1.8606
160,1.8479
170,1.822
180,1.7241
190,1.6314
200,1.6107
210,1.6485
220,1.6583
230,1.6639
240,1.5944
250,1.5621
260,1.3996
270,1.4556
280,1.4444
290,1.3571
300,1.3154
310,1.1976
320,1.2313
330,1.1327
340,1.2175
350,1.1671
360,1.1504
370,1.052
380,1.2711
390,1.0551
400,1.0992
410,1.0982
420,0.8863
430,0.8974
440,0.9694
450,0.7762
460,0.8144
470,0.9239
480,0.7313
490,0.8616
500,0.7703
510,0.8314
520,0.8149
530,0.7279
540,0.617
550,0.5967
560,0.7036
570,0.6743
580,0.5749
590,0.6269
600,0.8339
610,0.4897
620,0.5963
630,0.6205
640,0.4673
650,0.5486
660,0.5267
670,0.5101
680,0.4791
690,0.5847
700,0.5796
710,0.4714
720,0.3327
730,0.3426
740,0.4053
750,0.4775
760,0.3761
770,0.3049
780,0.502
790,0.2939
800,0.3502
810,0.4076
820,0.4503
830,0.4069
840,0.3447
850,0.3694
860,0.2587
870,0.3364
880,0.3298
890,0.3187
900,0.2369
910,0.2308
920,0.2661
930,0.1959
940,0.2499
950,0.3267
960,0.1835
970,0.4099
980,0.1896
990,0.2163
1000,0.1742
1010,0.2719
1020,0.1874
1030,0.2876
1040,0.2238
1050,0.1674
1060,0.1305
1070,0.2174
1080,0.0964
1090,0.1735
1100,0.1151
1110,0.1871
1120,0.2022
1130,0.1373
1140,0.2193
1150,0.1015
1160,0.1803
1170,0.1327
1180,0.2343
1190,0.1274
1200,0.1998
1210,0.1771
1220,0.0963
1230,0.1204
1240,0.1389
1250,0.1232
1260,0.1145
1270,0.1324
1280,0.0624
1290,0.1105
1300,0.0784
1310,0.0551
1320,0.0996
1330,0.0239
1340,0.1348
1350,0.1488
1360,0.1148
1370,0.1112
1380,0.1059
1390,0.1149
1400,0.1006
1410,0.1663
1420,0.0544
1430,0.0541
1440,0.0953
1450,0.0414
1460,0.058
1470,0.1058
1480,0.0895
1490,0.1147
1500,0.0475
1510,0.1442
1520,0.0708
1530,0.1463
1540,0.0793
1550,0.0473
1560,0.1089
1570,0.0582
1580,0.0855
1590,0.0651
1600,0.0548
1610,0.0538
1620,0.0929
1630,0.2377
1640,0.0681
1650,0.0167
1660,0.0393
1670,0.0384
1680,0.157
1690,0.0714
1700,0.0485
