step,train_loss
10,1.9483
20,1.9451
30,1.9266
40,1.9001
50,1.8658
60,1.7851
70,1.7154
80,1.622
90,1.5057
100,1.4754
110,1.3501
120,1.3809
130,1.2593
140,1.3523
150,1.2916
160,1.1833
170,1.0259
180,1.113
190,0.8735
200,0.7764
210,0.9234
220,0.8052
230,0.6384
240,0.8669
250,0.8017
260,0.6655
270,0.4646
280,0.6127
290,0.531
300,0.5028
310,0.4603
320,0.3023
330,0.3508
340,0.4229
350,0.5126
360,0.3118
370,0.2236
380,0.3514
390,0.2743
400,0.3026
410,0.177
420,0.3115
430,0.2398
440,0.5142
450,0.4327
460,0.1361
470,0.113
480,0.1971
490,0.1437
500,0.2916
510,0.1526
520,0.2633
530,0.2535
540,0.086
550,0.0559
560,0.103
570,0.0326
580,0.1175
590,0.0193
600,0.1378
610,0.1098
620,0.0128
630,0.1711
640,0.0751
650,0.0623
660,0.06
670,0.0055
680,0.0078
690,0.018
700,0.0048
710,0.0139
720,0.0603
730,0.0099
740,0.0224
750,0.0046
760,0.0536
770,0.0039
780,0.1072
790,0.0781
800,0.0513
810,0.0035
820,0.0779
830,0.0567
840,0.0327
850,0.0695
860,0.0026
870,0.0487
880,0.0118
890,0.0024
900,0.0086
910,0.0021
920,0.0116
