step,train_loss
10,2.0811
20,2.0774
30,2.0852
40,2.0734
50,2.0703
60,2.0654
70,2.0589
80,2.0373
90,2.043
100,1.9859
110,1.9607
120,1.8874
130,1.8308
140,1.7398
150,1.7484
160,1.7096
170,1.6425
180,1.5686
190,1.5156
200,1.429
210,1.4697
220,1.3823
230,1.4757
240,1.3877
250,1.2291
260,1.2238
270,1.0438
280,1.1165
290,1.099
300,0.9623
310,0.8982
320,0.9005
330,0.9505
340,1.0157
350,1.0448
360,0.9861
370,0.9268
380,0.8738
390,0.6178
400,0.6372
410,0.6362
420,0.6131
430,0.8773
440,0.5299
450,0.5357
460,0.5292
470,0.49
480,0.7332
490,0.5208
500,0.5082
510,0.508
520,0.3951
530,0.3894
540,0.3481
550,0.3724
560,0.3301
570,0.3324
580,0.3237
590,0.2989
600,0.3249
610,0.3782
620,0.2466
630,0.4001
640,0.3625
650,0.291
660,0.2285
670,0.1037
680,0.1541
690,0.1808
700,0.1561
710,0.1856
720,0.286
730,0.182
740,0.2104
750,0.1379
760,0.1908
770,0.1138
780,0.1209
790,0.1224
800,0.0877
810,0.097
820,0.0704
830,0.0987
840,0.2359
850,0.1217
860,0.1322
870,0.1292
880,0.1223
890,0.0975
900,0.0221
910,0.0187
920,0.1179
930,0.2122
940,0.1928
950,0.0281
960,0.0655
970,0.1067
980,0.116
990,0.0439
1000,0.064
1010,0.064
1020,0.0657
1030,0.0724
1040,0.1213
1050,0.1076
1060,0.1002
1070,0.0184
1080,0.0178
1090,0.0252
1100,0.0105
1110,0.0539
1120,0.1116
1130,0.025
1140,0.0726
1150,0.0649
1160,0.0173
1170,0.0239
1180,0.0609
1190,0.0248
1200,0.0508
1210,0.0252
1220,0.0437
1230,0.0074
1240,0.0277
1250,0.0216
1260,0.0067
1270,0.0072
1280,0.0497
1290,0.0132
1300,0.0077
1310,0.0182
1320,0.0348
1330,0.1001
1340,0.0073
1350,0.0164
1360,0.0274
1370,0.0083
1380,0.0152
1390,0.0058
1400,0.0631
1410,0.04
1420,0.0057
1430,0.064
1440,0.0227
1450,0.0278
1460,0.0664
1470,0.0984
1480,0.0871
1490,0.0147
1500,0.0422
1510,0.0137
1520,0.0319
1530,0.043
1540,0.0305
1550,0.019
1560,0.0044
1570,0.0041
1580,0.033
1590,0.0045
1600,0.1763
1610,0.0061
1620,0.0271
1630,0.0121
1640,0.0039
1650,0.0044
1660,0.0128
1670,0.0109
1680,0.0131
1690,0.0269
1700,0.0042
1710,0.0145
1720,0.0113
1730,0.0111
1740,0.0043
1750,0.0113
1760,0.0039
1770,0.0255
1780,0.0043
1790,0.0253
1800,0.0042
