step,train_loss
10,2.0759
20,2.0773
30,2.075
40,2.0606
50,2.0463
60,2.034
70,1.9791
80,1.9179
90,1.8736
100,1.8154
110,1.696
120,1.5998
130,1.5324
140,1.524
150,1.4957
160,1.5075
170,1.4081
180,1.3868
190,1.3028
200,1.2481
210,1.2147
220,1.2052
230,1.1174
240,0.9793
250,0.8943
260,1.0265
270,0.9398
280,0.9207
290,0.8945
300,0.8776
310,0.6932
320,0.8031
330,0.6886
340,0.6806
350,0.583
360,0.6527
370,0.6714
380,0.6079
390,0.5572
400,0.7648
410,0.4595
420,0.6327
430,0.5581
440,0.4687
450,0.3346
460,0.2832
470,0.3996
480,0.4034
490,0.3695
500,0.3582
510,0.414
520,0.1866
530,0.2287
540,0.3937
550,0.2349
560,0.5109
570,0.3133
580,0.2066
590,0.173
600,0.33
610,0.1569
620,0.1931
630,0.3216
640,0.1804
650,0.3772
660,0.1705
670,0.1651
680,0.1681
690,0.1821
700,0.1711
710,0.1989
720,0.1316
730,0.1918
740,0.1512
750,0.1236
760,0.1079
770,0.0916
780,0.0313
790,0.0591
800,0.2056
810,0.0883
820,0.1812
830,0.1124
840,0.1038
850,0.0423
860,0.1102
870,0.2035
880,0.1718
890,0.1476
900,0.0624
910,0.0456
920,0.1388
930,0.0627
940,0.1758
950,0.1195
960,0.0644
970,0.015
980,0.124
990,0.0081
1000,0.0449
