step,train_loss
10,1.9446
20,1.911
30,1.8204
40,1.6235
50,1.4722
60,1.2682
70,1.1046
80,1.098
90,0.7026
100,0.8161
110,0.7793
120,0.5581
130,1.136
140,0.7075
150,0.5397
160,0.3995
170,0.4461
180,0.4717
190,0.3466
200,0.3673
210,0.3245
220,0.2464
230,0.2439
240,0.282
250,0.2715
260,0.2162
270,0.1388
280,0.1745
290,0.101
300,0.0876
310,0.278
320,0.1401
330,0.0789
340,0.0357
350,0.0748
360,0.0624
370,0.0043
380,0.0263
390,0.0067
400,0.0027
410,0.0061
420,0.0029
430,0.0024
440,0.0567
450,0.0027
460,0.0555
470,0.0019
480,0.0043
490,0.003
500,0.0015
510,0.0021
520,0.0185
