step,train_loss
10,2.0783
20,2.0744
30,2.0729
40,2.0578
50,2.056
60,2.0082
70,1.9045
80,1.8018
90,1.77
100,1.7579
110,1.6221
120,1.5959
130,1.3962
140,1.3595
150,1.3489
160,1.2325
170,1.2461
180,1.1089
190,0.8438
200,0.9139
210,0.7767
220,0.8023
230,0.9734
240,0.6482
250,0.5694
260,0.5803
270,0.621
280,0.6531
290,0.6391
300,0.5005
310,0.5596
320,0.4012
330,0.4302
340,0.4038
350,0.4288
360,0.3498
370,0.3479
380,0.4267
390,0.3679
400,0.2622
410,0.3303
420,0.3433
430,0.1427
440,0.2278
450,0.4308
460,0.4612
470,0.2277
480,0.3145
490,0.4401
500,0.3004
510,0.3716
520,0.1364
530,0.3632
540,0.3354
550,0.1635
560,0.1916
570,0.1953
580,0.1558
590,0.1742
600,0.1203
610,0.1347
620,0.0838
630,0.1048
640,0.1451
650,0.1828
660,0.0817
670,0.1465
680,0.0415
690,0.1456
700,0.1274
710,0.2652
720,0.0888
