step,train_loss
10,2.0805
20,2.0805
30,2.0746
40,2.0687
50,2.0621
60,2.0662
70,2.0475
80,2.0282
90,2.0042
100,1.933
110,1.8204
120,1.8101
130,1.7354
140,1.7345
150,1.5979
160,1.6227
170,1.5644
180,1.4192
190,1.3014
200,1.239
210,1.309
220,1.2875
230,1.1209
240,0.9477
250,1.037
260,0.8713
270,1.0472
280,0.8648
290,0.7129
300,0.8011
310,0.8126
320,0.7913
330,0.6789
340,0.5913
350,0.5139
360,0.5061
370,0.568
380,0.4774
390,0.6379
400,0.4793
410,0.4089
420,0.539
430,0.3453
440,0.4274
450,0.2579
460,0.3236
470,0.4387
480,0.4098
490,0.2642
500,0.2693
510,0.4442
520,0.327
530,0.2808
540,0.1954
550,0.2975
560,0.3645
570,0.2973
580,0.1735
590,0.2129
600,0.2373
610,0.1376
620,0.1154
630,0.2067
640,0.1472
650,0.2101
660,0.1493
670,0.168
680,0.1272
690,0.3374
700,0.1918
710,0.0823
720,0.1769
730,0.0449
740,0.1336
750,0.1457
760,0.1268
770,0.0804
780,0.0705
790,0.1217
800,0.1232
810,0.0774
820,0.2057
830,0.0505
840,0.0201
850,0.0203
860,0.1582
870,0.1609
880,0.2051
890,0.1696
900,0.1073
910,0.1554
920,0.0724
930,0.0795
940,0.0925
950,0.0339
960,0.1234
970,0.0653
980,0.0581
990,0.1148
1000,0.0959
1010,0.027
1020,0.0515
1030,0.0628
1040,0.0659
1050,0.1159
1060,0.0069
1070,0.0315
